pokemon_id,pokemon_name,pokemon_slug,generation,item_id,item_name,item_slug,rarity,version,sourceUrl
674,pancham,pancham,generation-vi,196,mental-herb,mental_herb_7,5,x,https://pokeapi.co/api/v2/item/196/
674,pancham,pancham,generation-vi,196,mental-herb,mental_herb_7,5,y,https://pokeapi.co/api/v2/item/196/
674,pancham,pancham,generation-vi,196,mental-herb,mental_herb_7,5,omega-ruby,https://pokeapi.co/api/v2/item/196/
674,pancham,pancham,generation-vi,196,mental-herb,mental_herb_7,5,alpha-sapphire,https://pokeapi.co/api/v2/item/196/
674,pancham,pancham,generation-vi,196,mental-herb,mental_herb_7,5,sun,https://pokeapi.co/api/v2/item/196/
674,pancham,pancham,generation-vi,196,mental-herb,mental_herb_7,5,moon,https://pokeapi.co/api/v2/item/196/
674,pancham,pancham,generation-vi,196,mental-herb,mental_herb_7,5,ultra-sun,https://pokeapi.co/api/v2/item/196/
674,pancham,pancham,generation-vi,196,mental-herb,mental_herb_7,5,ultra-moon,https://pokeapi.co/api/v2/item/196/
675,pangoro,pangoro,generation-vi,196,mental-herb,mental_herb_8,5,x,https://pokeapi.co/api/v2/item/196/
675,pangoro,pangoro,generation-vi,196,mental-herb,mental_herb_8,5,y,https://pokeapi.co/api/v2/item/196/
675,pangoro,pangoro,generation-vi,196,mental-herb,mental_herb_8,5,omega-ruby,https://pokeapi.co/api/v2/item/196/
675,pangoro,pangoro,generation-vi,196,mental-herb,mental_herb_8,5,alpha-sapphire,https://pokeapi.co/api/v2/item/196/
675,pangoro,pangoro,generation-vi,196,mental-herb,mental_herb_8,5,sun,https://pokeapi.co/api/v2/item/196/
675,pangoro,pangoro,generation-vi,196,mental-herb,mental_herb_8,5,moon,https://pokeapi.co/api/v2/item/196/
675,pangoro,pangoro,generation-vi,196,mental-herb,mental_herb_8,5,ultra-sun,https://pokeapi.co/api/v2/item/196/
675,pangoro,pangoro,generation-vi,196,mental-herb,mental_herb_8,5,ultra-moon,https://pokeapi.co/api/v2/item/196/
