id,title,year,is_legacy,image,sourceUrl
0,Blue Minion Bruiser Icon,2009,False,images/summoner_icons/blue_minion_bruiser_icon.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/v1/profile-icons/0.jpg
10001,Prestige Chibi Ezreal Porcelain Icon,2024,False,images/summoner_icons/prestige_chibi_ezreal_porcelain_icon.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/v1/profile-icons/10001.jpg
10002,Chibi Zoe Icon,2024,False,images/summoner_icons/chibi_zoe_icon.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/v1/profile-icons/10002.jpg
10003,Soaking Up the Luck!,2025,False,images/summoner_icons/soaking_up_the_luck.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/v1/profile-icons/10003.jpg
10004,TOC 10 Superserver Icon,2025,False,images/summoner_icons/toc_10_superserver_icon.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/v1/profile-icons/10004.jpg
10005,Chibi Superstar Icon,2025,False,images/summoner_icons/chibi_superstar_icon.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/v1/profile-icons/10005.jpg
1000,2016 LCL Hard Random,2016,False,images/summoner_icons/2016_lcl_hard_random.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/v1/profile-icons/1000.jpg
1001,2016 LCL Team Just,2016,False,images/summoner_icons/2016_lcl_team_just.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/v1/profile-icons/1001.jpg
1002,2016 LCL Natus Vincere,2016,False,images/summoner_icons/2016_lcl_natus_vincere.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/v1/profile-icons/1002.jpg
1003,2016 LCL RoX,2016,False,images/summoner_icons/2016_lcl_rox.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/v1/profile-icons/1003.jpg
1004,2016 LCL Vega Squadron,2016,False,images/summoner_icons/2016_lcl_vega_squadron.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/v1/profile-icons/1004.jpg
1005,2016 LCL Vaevictis eSports,2016,False,images/summoner_icons/2016_lcl_vaevictis_esports.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/v1/profile-icons/1005.jpg
1006,2016 LMS ahq e-Sports Club,2016,False,images/summoner_icons/2016_lms_ahq_e_sports_club.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/v1/profile-icons/1006.jpg
1007,2016 LMS Flash Wolves,2016,False,images/summoner_icons/2016_lms_flash_wolves.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/v1/profile-icons/1007.jpg
1008,2016 LMS HongKong e-Sports,2016,False,images/summoner_icons/2016_lms_hongkong_e_sports.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/v1/profile-icons/1008.jpg
1009,2016 LMS Machi,2016,False,images/summoner_icons/2016_lms_machi.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/v1/profile-icons/1009.jpg
1010,2016 LMS Mid Night Sun,2016,False,images/summoner_icons/2016_lms_mid_night_sun.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/v1/profile-icons/1010.jpg
1011,2016 LMS Taipei Assassins,2016,False,images/summoner_icons/2016_lms_taipei_assassins.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/v1/profile-icons/1011.jpg
1012,2016 NA LCS Cloud9,2016,False,images/summoner_icons/2016_na_lcs_cloud9.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/v1/profile-icons/1012.jpg
1013,2016 NA LCS Counter Logic Gaming,2016,False,images/summoner_icons/2016_na_lcs_counter_logic_gaming.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/v1/profile-icons/1013.jpg
1014,2016 NA LCS Team Dignitas,2016,False,images/summoner_icons/2016_na_lcs_team_dignitas.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/v1/profile-icons/1014.jpg
1015,2016 NA LCS Echo Fox,2016,False,images/summoner_icons/2016_na_lcs_echo_fox.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/v1/profile-icons/1015.jpg
1016,2016 NA LCS Immortals,2016,False,images/summoner_icons/2016_na_lcs_immortals.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/v1/profile-icons/1016.jpg
1017,2016 NA LCS NRG,2016,False,images/summoner_icons/2016_na_lcs_nrg.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/v1/profile-icons/1017.jpg
1018,2016 NA LCS Renegades,2016,False,images/summoner_icons/2016_na_lcs_renegades.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/v1/profile-icons/1018.jpg
